iter	Passed	Remaining
783	7467	10258
784	7477	10249
785	7490	10245
786	7499	10235
787	7516	10235
788	7530	10231
789	7547	10232
790	7561	10228
791	7569	10216
792	7583	10213
793	7599	10212
794	7610	10204
795	7618	10193
796	7631	10187
797	7641	10179
798	7655	10175
799	7670	10173
800	7681	10164
801	7693	10159
802	7707	10154
803	7722	10152
804	7733	10144
805	7744	10136
806	7757	10131
807	7764	10119
808	7777	10113
809	7788	10106
810	7803	10103
811	7814	10094
812	7828	10091
813	7844	10090
814	7858	10086
815	7869	10077
816	7879	10069
817	7889	10059
818	7901	10053
819	7910	10041
820	7920	10033
821	7928	10020
822	7938	10012
823	7949	10003
824	7958	9993
825	7965	9980
826	7975	9971
827	7986	9963
828	7993	9951
829	8005	9944
830	8014	9934
831	8029	9930
832	8037	9918
833	8047	9910
834	8054	9897
835	8063	9887
836	8070	9873
837	8080	9864
838	8086	9849
839	8095	9840
840	8105	9831
841	8116	9822
842	8123	9809
843	8133	9800
844	8141	9788
845	8150	9778
846	8157	9765
847	8168	9757
848	8178	9748
849	8190	9741
850	8197	9728
851	8204	9716
852	8213	9705
853	8221	9694
854	8230	9684
855	8238	9672
856	8244	9659
857	8253	9648
858	8260	9635
859	8269	9625
860	8277	9613
861	8287	9604
862	8296	9594
863	8307	9586
864	8313	9572
865	8324	9564
866	8333	9554
867	8343	9545
868	8352	9534
869	8361	9523
870	8371	9515
871	8380	9505
872	8393	9498
873	8400	9486
874	8412	9479
875	8420	9468
876	8431	9460
877	8442	9452
878	8453	9443
879	8459	9430
880	8471	9423
881	8479	9412
882	8490	9404
883	8497	9391
884	8508	9383
885	8517	9372
886	8526	9362
887	8535	9352
888	8547	9345
889	8560	9339
890	8572	9332
891	8585	9326
892	8602	9325
893	8613	9317
894	8621	9305
895	8634	9299
896	8646	9292
897	8657	9284
898	8666	9273
899	8677	9266
900	8685	9254
901	8698	9248
902	8707	9237
903	8719	9230
904	8729	9221
905	8740	9213
906	8752	9205
907	8763	9197
908	8774	9189
909	8787	9183
910	8797	9174
911	8806	9164
912	8813	9151
913	8823	9142
914	8831	9130
915	8845	9125
916	8853	9113
917	8865	9106
918	8874	9096
919	8883	9086
920	8893	9077
921	8902	9067
922	8911	9056
923	8923	9049
924	8931	9037
925	8945	9032
926	8956	9024
927	8969	9017
928	8978	9007
929	8990	8999
930	8996	8987
931	9008	8979
932	9015	8967
933	9029	8961
934	9042	8955
935	9058	8952
936	9069	8943
937	9080	8935
938	9104	8939
